RG,SITE ID,EPA ID,SITE NAME,STREET ADDRESS,STREET ADDRESS 2,CITY,STATE,ZIP,CONG DISTRICT,COUNTY,FIPS CODE,LATITUDE,LONGITUDE,NPL,FF,NON NPL STATUS,,,,
01,0100009,CTD000842500,GENERAL ELECTRIC COMPANY,NEW BRITAIN AVE GATE 3,,PLAINVILLE,CT,06062,06,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100012,CTD000845172,REYNOLDS ALUMINUM BUILDING PROD COMPANY,347 LONGBROOK AVENUE,,STRATFORD,CT,06497,03,FAIRFIELD,09001,41.19,-73.12,Site is Part of NPL Site,N,, ,,,
01,0100013,CTD000845180,PERKIN ELMER CORPORATION,901 ETHAN ALLEN HIGHWAY,,RIDGEFIELD,CT,06877,05,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100014,CTD000847699,"C. E. M. COMPANY, INC.",30 ROCK AVENUE,,KILLINGLY,CT,06243,02,WINDHAM,09015,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100015,CTD000847764,GILBERT & BENNETT MANFACTURING COMPANY,NORTH MAIN STREET,,REDDING (GEORGETOWN),CT,06829,04,FAIRFIELD,09001,,,Not on the NPL,N,Deferred to RCRA, ,,,
01,0100017,CTD000858563,ASHLAND CHEMICAL / KYOVA CORPORATION,30-32 HENRY STREET,,BETHEL,CT,06801,05,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100023,CTD001141233,GLASS CONTAINER CORPORATION/ANCHOR GLASS,ROUTE 101,,KILLINGLY,CT,06241,02,WINDHAM,09015,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100024,CTD001141613,"HURLEY MANUFACTURING COMPANY, THE",37 GREENWOODS ROAD ,,NEW HARTFORD,CT,06057,06,LITCHFIELD,09005,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100026,CTD001143585,HALE MANUFACTURING COMPANY (FORMER),58 POMFRET STREET (ROUTE 44),,PUTNAM,CT,06260,02,WINDHAM,09015,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100028,CTD001144179,WESTVACO CORPORATION,119 EMPIRE AVENUE,,MERIDEN,CT,06450,05,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100034,CTD001147834,AMERICAN THREAD COMPANY (FORMER),"322 MAIN STREET, BUILDING NO. 4",,WINDHAM (WILIMANTIC),CT,06226-3131,02,WINDHAM,09015,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100036,CTD001149939,LORI CORPORATION,OLD TURNPIKE ROAD,,SOUTHINGTON,CT,06489,06,HARTFORD,09003,41.58,-72.88,Site is Part of NPL Site,N,, ,,,
01,0100039,CTD001152388,KALART VICTOR CORPORATION,20 HULTENIUS STREET,,PLAINVILLE,CT,06062,06,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100040,CTD001152669,"ALLIED METAL PRODUCTS, INC.",1082 FARMINGTON AVENUE,,BERLIN,CT,06037,01,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100041,CTD001153923,LINEMASTER SWITCH CORP.,29 PLAINE HILL ROAD,,WOODSTOCK,CT,06281,02,WINDHAM,09015,41.94056,-71.96693,Currently on the Final NPL,N,, ,,,
01,0100046,CTD001157262,"LISBON TEXTILE PRINTS, INC.",ROUTE 12,,LISBON,CT,06351,02,NEW LONDON,09011,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100055,CTD001162122,"IMO INDUSTRIES, INC",60 ROUND HILL ROAD,,FAIRFIELD,CT,06430,04,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100058,CTD001163997,"S. GOLDFEDER, INC.",125 GROVE STREET,,WALLINGFORD,CT,06492-1608,03,NEW HAVEN,09009,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100063,CTD001165307,MORGAN FRANCIS COMPANY (FLEET TOOL),EAST BROADWAY & FERRY BOULEVARD,,STRATFORD,CT,06497,04,FAIRFIELD,09001,41.19,-73.12,Site is Part of NPL Site,N,, ,,,
01,0100065,CTD001165851,MAUR-MEL AUTOMATICS,37 TOSUN ROAD,,WOLCOTT,CT,06716,05,NEW HAVEN,09009,41.57,-72.99,Site is Part of NPL Site,N,, ,,,
01,0100067,CTD121900948,VA CT HEALTHCARE SYSTEM/NEWINGTON CAMPUS,WILLARD STREET,,NEWINGTON,CT,06111,,NEW HAVEN,09009,,,Not on the NPL,Y,NFRAP-Site does not qualify for the NPL based on existing information, ,,,
01,0100071,CTD001167543,HIMMEL BROTHERS,1409 DIXWELL,,HAMDEN,CT,06514,03,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100072,CTD001168244,"WIN MANUFACTURING COMPANY, INC.",22 HEMINGWAY AVENUE,,EAST HAVEN,CT,06512,03,NEW HAVEN,09009,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
